row,column,rep,Sample ID,Heat Flux,Depth,mass aimed,tin mass,aimed total mass,measured total mass,sample mass
A,1,1,1,high,surface,400,58.532,458.532,457.459,398.927
A,2,1,2,high,surface,400,57.839,457.839,458.713,400.874
A,3,1,3,high,surface,400,59.488,459.488,461.117,401.629
A,4,1,4,high,surface,400,60.074,460.074,458.991,398.917
A,5,1,5,high,surface,400,57.447,457.447,457.277,399.83
A,6,1,6,high,1 cm,400,57.789,457.789,456.772,398.983
A,7,1,7,high,1 cm,400,58.231,458.231,458.198,399.967
A,8,1,8,high,1 cm,400,58.996,458.996,459.358,400.362
A,9,1,9,high,1 cm,400,56.726,456.726,456.624,399.898
A,10,1,10,high,1 cm,400,59.451,459.451,459.205,399.754
A,11,2,1,high,surface,400,59.75,459.75,458.058,398.308