Sample Name,Sample Type,Start Time,End Time,Vial #,Turbo,Autoreagents,ICR,Flush Time (sec),TOC Average (ppb),TOC Standard Deviation (ppb),TOC RSD (%),IC Average (ppb),IC Standard Deviation (ppb),IC RSD (%),TC Average (ppb),TC Standard Deviation (ppb),TC RSD (%),
IB1,Sample,04/05/2023 10:04:45,04/05/2023 10:32:27,1,False,True,False,240,9.97,1.08,10.8,64.3,5.8,9.02,74.2,6.36,8.56,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 10:04:45,04/05/2023 10:26:27,5.6,64.9,70.5,0.3,0,,,,,,,,,,,
2,04/05/2023 10:26:27,04/05/2023 10:28:27,9.2,67.1,76.3,0.3,0,,,,,,,,,,,
3,04/05/2023 10:28:27,04/05/2023 10:30:27,11.2,68.1,79.3,0.3,0,,,,,,,,,,,
4,04/05/2023 10:30:27,04/05/2023 10:32:27,9.5,57.6,67.1,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
IB2,Sample,04/05/2023 10:32:40,04/05/2023 11:00:58,2,False,True,False,240,10.7,0.58,5.41,85.2,1.4,1.64,95.9,1.81,1.89,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 10:32:40,04/05/2023 10:54:58,< 4.00,91.3,95.2,0.3,0,,,,,,,,,,,
2,04/05/2023 10:54:58,04/05/2023 10:56:58,11,86.8,97.8,0.3,0,,,,,,,,,,,
3,04/05/2023 10:56:58,04/05/2023 10:58:59,11,84.6,95.6,0.3,0,,,,,,,,,,,
4,04/05/2023 10:58:59,04/05/2023 11:00:58,10,84.2,94.2,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SB,Sample,04/05/2023 11:01:12,04/05/2023 11:29:30,3,False,True,False,240,13400,208,1.55,1710,5.77,0.34,15100,208,1.38,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 11:01:12,04/05/2023 11:23:30,13400,1690,15100,1,2.3,,,,,,,,,,,
2,04/05/2023 11:23:30,04/05/2023 11:25:30,13500,1710,15200,1,2.3,,,,,,,,,,,
3,04/05/2023 11:25:30,04/05/2023 11:27:30,13200,1700,14900,1,2.3,,,,,,,,,,,
4,04/05/2023 11:27:30,04/05/2023 11:29:30,13600,1710,15300,1,2.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Sample,04/05/2023 11:29:43,04/05/2023 11:58:00,4,False,True,False,240,13700,57.7,0.42,2790,5.77,0.21,16500,57.7,0.35,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 11:29:43,04/05/2023 11:51:59,13600,2770,16400,1,2.2,,,,,,,,,,,
2,04/05/2023 11:51:59,04/05/2023 11:54:00,13800,2800,16600,1,2.2,,,,,,,,,,,
3,04/05/2023 11:54:00,04/05/2023 11:55:59,13700,2790,16500,1,2.2,,,,,,,,,,,
4,04/05/2023 11:55:59,04/05/2023 11:58:00,13700,2790,16500,1,2.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2,Sample,04/05/2023 11:58:13,04/05/2023 12:26:19,5,False,True,False,240,11000,57.7,0.52,2980,0,0,14000,57.7,0.41,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 11:58:13,04/05/2023 12:20:19,11000,2960,14000,1,1.9,,,,,,,,,,,
2,04/05/2023 12:20:19,04/05/2023 12:22:19,11100,2980,14100,1,1.9,,,,,,,,,,,
3,04/05/2023 12:22:19,04/05/2023 12:24:19,11000,2980,14000,1,1.9,,,,,,,,,,,
4,04/05/2023 12:24:19,04/05/2023 12:26:19,11000,2980,14000,1,1.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
3,Sample,04/05/2023 12:26:31,04/05/2023 12:54:37,6,False,True,False,240,10900,< 0.03,< 0.03,2820,11.5,0.41,13700,0,0,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 12:26:31,04/05/2023 12:48:37,10800,2810,13600,1,1.9,,,,,,,,,,,
2,04/05/2023 12:48:37,04/05/2023 12:50:37,10900,2830,13700,1,1.9,,,,,,,,,,,
3,04/05/2023 12:50:37,04/05/2023 12:52:37,10900,2830,13700,1,1.9,,,,,,,,,,,
4,04/05/2023 12:52:37,04/05/2023 12:54:37,10900,2810,13700,1,1.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
4,Sample,04/05/2023 12:54:50,04/05/2023 13:22:56,7,False,True,False,240,13600,< 0.03,< 0.03,2930,5.77,0.2,16500,0,0,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 12:54:50,04/05/2023 13:16:56,13600,2920,16500,1,2.2,,,,,,,,,,,
2,04/05/2023 13:16:56,04/05/2023 13:18:56,13600,2930,16500,1,2.2,,,,,,,,,,,
3,04/05/2023 13:18:56,04/05/2023 13:20:56,13600,2940,16500,1,2.2,,,,,,,,,,,
4,04/05/2023 13:20:56,04/05/2023 13:22:56,13600,2930,16500,1,2.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
5,Sample,04/05/2023 13:23:09,04/05/2023 13:51:15,8,False,True,False,240,9410,< 0.03,< 0.03,2890,0,0,12300,0,0,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 13:23:09,04/05/2023 13:45:15,9440,2860,12300,1,1.6,,,,,,,,,,,
2,04/05/2023 13:45:15,04/05/2023 13:47:15,9410,2890,12300,1,1.6,,,,,,,,,,,
3,04/05/2023 13:47:15,04/05/2023 13:49:15,9410,2890,12300,1,1.6,,,,,,,,,,,
4,04/05/2023 13:49:15,04/05/2023 13:51:15,9410,2890,12300,1,1.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
6,Sample,04/05/2023 13:51:28,04/05/2023 14:19:34,9,False,True,False,240,8410,60.8,0.72,2860,5.77,0.2,11300,57.7,0.51,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 13:51:28,04/05/2023 14:13:34,8390,2810,11200,1,1.4,,,,,,,,,,,
2,04/05/2023 14:13:34,04/05/2023 14:15:34,8440,2860,11300,1,1.4,,,,,,,,,,,
3,04/05/2023 14:15:34,04/05/2023 14:17:34,8340,2860,11200,1,1.4,,,,,,,,,,,
4,04/05/2023 14:17:34,04/05/2023 14:19:34,8450,2850,11300,1,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
7,Sample,04/05/2023 14:19:47,04/05/2023 14:47:52,10,False,True,False,240,8280,69.3,0.84,2850,11.5,0.4,11100,57.7,0.52,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 14:19:47,04/05/2023 14:41:52,8290,2810,11100,1,1.4,,,,,,,,,,,
2,04/05/2023 14:41:52,04/05/2023 14:43:52,8360,2840,11200,1,1.4,,,,,,,,,,,
3,04/05/2023 14:43:52,04/05/2023 14:45:52,8240,2860,11100,1,1.4,,,,,,,,,,,
4,04/05/2023 14:45:52,04/05/2023 14:47:52,8240,2860,11100,1,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
8,Sample,04/05/2023 14:48:07,04/05/2023 15:16:12,11,False,True,False,240,8260,< 0.03,< 0.03,2840,0,0,11100,0,0,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 14:48:07,04/05/2023 15:10:13,8180,2820,11000,1,1.4,,,,,,,,,,,
2,04/05/2023 15:10:13,04/05/2023 15:12:12,8260,2840,11100,1,1.4,,,,,,,,,,,
3,04/05/2023 15:12:12,04/05/2023 15:14:13,8260,2840,11100,1,1.4,,,,,,,,,,,
4,04/05/2023 15:14:13,04/05/2023 15:16:12,8260,2840,11100,1,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
9,Sample,04/05/2023 15:16:26,04/05/2023 15:44:31,12,False,True,False,240,7660,26.5,0.35,3040,26.5,0.87,10700,0,0,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 15:16:26,04/05/2023 15:38:31,7620,2980,10600,1,1.3,,,,,,,,,,,
2,04/05/2023 15:38:31,04/05/2023 15:40:31,7690,3010,10700,1,1.3,,,,,,,,,,,
3,04/05/2023 15:40:31,04/05/2023 15:42:31,7650,3050,10700,1,1.3,,,,,,,,,,,
4,04/05/2023 15:42:31,04/05/2023 15:44:31,7640,3060,10700,1,1.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
IB3,Sample,04/05/2023 15:44:44,04/05/2023 16:12:50,13,False,True,False,240,85.7,7.64,8.92,110,2.08,1.9,195,7.02,3.6,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 15:44:44,04/05/2023 16:06:49,92.9,99.1,192,0.3,0,,,,,,,,,,,
2,04/05/2023 16:06:49,04/05/2023 16:08:49,94,108,202,0.3,0,,,,,,,,,,,
3,04/05/2023 16:08:49,04/05/2023 16:10:49,84,112,196,0.3,0,,,,,,,,,,,
4,04/05/2023 16:10:49,04/05/2023 16:12:50,79,109,188,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10,Sample,04/05/2023 16:13:02,04/05/2023 16:41:21,14,False,True,False,240,8030,40.4,0.5,3010,25.2,0.84,11000,57.7,0.52,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 16:13:02,04/05/2023 16:35:21,8030,2970,11000,1,1.3,,,,,,,,,,,
2,04/05/2023 16:35:21,04/05/2023 16:37:21,8020,2980,11000,1,1.3,,,,,,,,,,,
3,04/05/2023 16:37:21,04/05/2023 16:39:21,7990,3010,11000,1,1.3,,,,,,,,,,,
4,04/05/2023 16:39:21,04/05/2023 16:41:21,8070,3030,11100,1,1.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
11,Sample,04/05/2023 16:41:33,04/05/2023 17:09:38,15,False,True,False,240,27000,57.7,0.21,1090,5.77,0.53,28100,57.7,0.21,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 16:41:33,04/05/2023 17:03:38,27100,1100,28200,1,4.6,,,,,,,,,,,
2,04/05/2023 17:03:38,04/05/2023 17:05:38,27000,1090,28100,1,4.6,,,,,,,,,,,
3,04/05/2023 17:05:38,04/05/2023 17:07:38,27000,1090,28100,1,4.6,,,,,,,,,,,
4,04/05/2023 17:07:38,04/05/2023 17:09:38,26900,1100,28000,1,4.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
12,Sample,04/05/2023 17:09:51,04/05/2023 17:38:00,16,False,True,False,240,26100,379,1.45,1180,5.77,0.49,27300,379,1.39,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 17:09:51,04/05/2023 17:32:00,25100,1200,26300,1,4.5,,,,,,,,,,,
2,04/05/2023 17:32:00,04/05/2023 17:34:00,26500,1180,27700,1,4.5,,,,,,,,,,,
3,04/05/2023 17:34:00,04/05/2023 17:36:00,25900,1180,27100,1,4.5,,,,,,,,,,,
4,04/05/2023 17:36:00,04/05/2023 17:38:00,25800,1190,27000,1,4.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
13,Sample,04/05/2023 17:38:12,04/05/2023 18:06:22,17,False,True,False,240,27100,231,0.85,1050,0,0,28200,265,0.94,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 17:38:12,04/05/2023 18:00:22,27300,1070,28400,1,4.5,,,,,,,,,,,
2,04/05/2023 18:00:22,04/05/2023 18:02:23,27000,1050,28000,1,4.5,,,,,,,,,,,
3,04/05/2023 18:02:23,04/05/2023 18:04:22,27400,1050,28500,1,4.5,,,,,,,,,,,
4,04/05/2023 18:04:22,04/05/2023 18:06:22,27000,1050,28100,1,4.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
14,Sample,04/05/2023 18:06:35,04/05/2023 18:34:45,18,False,True,False,240,28800,57.7,0.2,1470,5.77,0.39,30300,57.7,0.19,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 18:06:35,04/05/2023 18:28:45,28900,1510,30400,1,4.9,,,,,,,,,,,
2,04/05/2023 18:28:45,04/05/2023 18:30:45,28800,1470,30300,1,4.9,,,,,,,,,,,
3,04/05/2023 18:30:45,04/05/2023 18:32:45,28900,1460,30400,1,4.9,,,,,,,,,,,
4,04/05/2023 18:32:45,04/05/2023 18:34:45,28800,1470,30300,1,4.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
15,Sample,04/05/2023 18:34:58,04/05/2023 19:03:08,19,False,True,False,240,25400,346,1.36,1280,10,0.78,26700,346,1.3,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 18:34:58,04/05/2023 18:57:08,24800,1300,26100,1,4.1,,,,,,,,,,,
2,04/05/2023 18:57:08,04/05/2023 18:59:08,25800,1290,27100,1,4.1,,,,,,,,,,,
3,04/05/2023 18:59:08,04/05/2023 19:01:08,25200,1270,26500,1,4.1,,,,,,,,,,,
4,04/05/2023 19:01:08,04/05/2023 19:03:08,25200,1280,26500,1,4.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
16,Sample,04/05/2023 19:03:22,04/05/2023 19:31:31,20,False,True,False,240,12700,57.7,0.46,3470,5.77,0.17,16200,57.7,0.36,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 19:03:22,04/05/2023 19:25:31,12700,3440,16100,1,2.1,,,,,,,,,,,
2,04/05/2023 19:25:31,04/05/2023 19:27:31,12600,3470,16100,1,2.1,,,,,,,,,,,
3,04/05/2023 19:27:31,04/05/2023 19:29:31,12700,3470,16200,1,2.1,,,,,,,,,,,
4,04/05/2023 19:29:31,04/05/2023 19:31:31,12700,3480,16200,1,2.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
17,Sample,04/05/2023 19:31:46,04/05/2023 19:59:52,21,False,True,False,240,11900,57.7,0.48,3390,5.77,0.17,15300,57.7,0.38,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 19:31:46,04/05/2023 19:53:52,11800,3370,15200,1,2,,,,,,,,,,,
2,04/05/2023 19:53:52,04/05/2023 19:55:52,11900,3380,15300,1,2,,,,,,,,,,,
3,04/05/2023 19:55:52,04/05/2023 19:57:52,12000,3390,15400,1,2,,,,,,,,,,,
4,04/05/2023 19:57:52,04/05/2023 19:59:52,11900,3390,15300,1,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
18,Sample,04/05/2023 20:00:06,04/05/2023 20:28:12,22,False,True,False,240,12800,100,0.78,3120,10,0.32,15900,100,0.63,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 20:00:06,04/05/2023 20:22:12,12800,3110,15900,1,2.2,,,,,,,,,,,
2,04/05/2023 20:22:12,04/05/2023 20:24:12,12800,3110,15900,1,2.2,,,,,,,,,,,
3,04/05/2023 20:24:12,04/05/2023 20:26:12,12900,3130,16000,1,2.2,,,,,,,,,,,
4,04/05/2023 20:26:12,04/05/2023 20:28:12,12700,3120,15800,1,2.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
IB4,Sample,04/05/2023 20:28:25,04/05/2023 20:56:31,23,False,True,False,240,160,12.4,7.75,94.4,7.95,8.41,255,8.54,3.35,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 20:28:25,04/05/2023 20:50:31,173,73.7,247,0.3,0,,,,,,,,,,,
2,04/05/2023 20:50:31,04/05/2023 20:52:31,168,85.6,254,0.3,0,,,,,,,,,,,
3,04/05/2023 20:52:31,04/05/2023 20:54:31,167,96.7,264,0.3,0,,,,,,,,,,,
4,04/05/2023 20:54:31,04/05/2023 20:56:31,146,101,247,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
19,Sample,04/05/2023 20:56:44,04/05/2023 21:25:02,24,False,True,False,240,13700,57.7,0.42,3580,11.5,0.32,17300,57.7,0.33,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 20:56:44,04/05/2023 21:19:01,13800,3550,17300,1,2.3,,,,,,,,,,,
2,04/05/2023 21:19:01,04/05/2023 21:21:02,13700,3570,17300,1,2.3,,,,,,,,,,,
3,04/05/2023 21:21:02,04/05/2023 21:23:01,13600,3570,17200,1,2.3,,,,,,,,,,,
4,04/05/2023 21:23:01,04/05/2023 21:25:02,13700,3590,17300,1,2.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
20,Sample,04/05/2023 21:25:14,04/05/2023 21:53:21,25,False,True,False,240,12600,115,0.92,3380,5.77,0.17,16000,115,0.72,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 21:25:14,04/05/2023 21:47:21,12500,3360,15900,1,2.1,,,,,,,,,,,
2,04/05/2023 21:47:21,04/05/2023 21:49:21,12500,3370,15900,1,2.1,,,,,,,,,,,
3,04/05/2023 21:49:21,04/05/2023 21:51:21,12500,3380,15900,1,2.1,,,,,,,,,,,
4,04/05/2023 21:51:21,04/05/2023 21:53:21,12700,3380,16100,1,2.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21,Sample,04/05/2023 21:53:34,04/05/2023 22:21:39,26,False,True,False,240,30200,764,2.53,1620,15.3,0.94,31800,764,2.4,
Rep #,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (μL/min),Oxid Rate (μL/min),,,,,,,,,,,
1,04/05/2023 21:53:34,04/05/2023 22:15:39,30000,1650,31700,1,5.1,,,,,,,,,,,
2,04/05/2023 22:15:39,04/05/2023 22:17:39,30400,1630,32000,1,5.1,,,,,,,,,,,
3,04/05/2023 22:17:39,04/05/2023 22:19:39,29400,1600,31000,1,5.1,,,,,,,,,,,
4,04/05/2023 22:19:39,04/05/2023 22:21:39,30900,1620,32500,1,5.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
22,Sample,04/05/2023 22:21:52,04/05/2023 22:50:02,27,False,True,False,240,25700,57.7,0.22,1390,11.5,0.83,27100,57.7,0.21,
