"","SampleID","a","b","p_a","p_b","R_squared","a_StdErr","b_StdErr","treatments","HF","Depth"
"1",11,0.0174200028284678,0.203896397731975,0.000156455915708252,0.00192844048388401,0.996770144022259,0.000722631051791592,0.0197150154618487,"High 5 cm","High","5 cm"
"6",12,0.0160603649619784,0.231541649041546,0.000524430330022358,0.00767193133888511,0.990303266549211,0.000999621687327514,0.0360870321373781,"High 5 cm","High","5 cm"
"11",13,0.0162645998213148,0.174930812828595,0.00226755852781165,0.0195747097309303,0.986197263628213,0.00166201820195482,0.0382190070832736,"High 5 cm","High","5 cm"
"16",14,0.0209895595844304,0.197975135095604,2.18125286686499e-07,2.62663995891197e-06,0.999963157865539,9.70717582270009e-05,0.00209883909331196,"High 5 cm","High","5 cm"
"21",15,0.0154837555455226,0.240448009418155,0.00176862351025928,0.0251837425002921,0.975934744818684,0.00145367858280017,0.0577308833915244,"High 5 cm","High","5 cm"
"26",17,0.0341502307260361,0.134894152304207,0.0778942708156779,0.251082460822003,0.909592287152937,0.0129532217113441,0.0950960415287259,"Low Surface","Low","Surface"
"31",18,0.0409126526459069,0.11285435660752,0.0259333795070774,0.094283572812488,0.976798947007363,0.00993278247100344,0.0466601897629532,"Low Surface","Low","Surface"
"36",19,0.0220212103519717,0.252428224422741,0.0133204629998628,0.138551515344113,0.898835609897765,0.00417892604228196,0.125851900146248,"Low Surface","Low","Surface"
"41",20,0.0383983932510977,0.0698651599090781,0.256720668979723,0.394528857473978,0.947525490130317,0.0274794092347238,0.0704635966982618,"Low Surface","Low","Surface"
"46",21,0.0209801855333964,0.214319138475063,0.00116559462696376,0.0144353637297593,0.985864033633834,0.00170974160451168,0.0418736055955526,"Low 1 cm","Low","1 cm"
"51",22,0.015787069267138,0.312566140999958,0.00103576276326782,0.0226951149674174,0.973330501029532,0.00123613469176044,0.0721617721414465,"Low 1 cm","Low","1 cm"
"56",23,0.0261761819453586,0.231946762123624,0.000892772650056566,0.0127230432287961,0.985995615852634,0.00194923323218738,0.0432924856280011,"Low 1 cm","Low","1 cm"
"61",24,0.0233361657481612,0.3632227442108,0.000205304974653756,0.00624432917889714,0.98891848226923,0.00106025845872604,0.0526606548034045,"Low 1 cm","Low","1 cm"
"66",25,0.0165259171798511,0.289698518936397,0.00066755720603434,0.0135920403527448,0.982427250002295,0.00111565904377238,0.0553786075350705,"Low 1 cm","Low","1 cm"
"71",26,0.00569778332585725,0.184564409258154,0.00591806110517013,0.0497210699438169,0.969508693171892,0.000810715978864217,0.0578620302908879,"Low 5 cm","Low","5 cm"
"76",27,0.00636134077876883,0.243347738975286,0.00104521399317096,0.0158613242938609,0.982838351140348,0.000499628620146786,0.0492057577933128,"Low 5 cm","Low","5 cm"
"81",28,0.00739713382532294,0.143038761568974,0.0136580642522894,0.0722239386856645,0.970603759960265,0.0014165158693662,0.0524848513775823,"Low 5 cm","Low","5 cm"
"86",29,0.0075420694668907,0.14021097643468,0.000231288877270871,0.00154468475117743,0.998365903026569,0.000356626546679186,0.0125713089584941,"Low 5 cm","Low","5 cm"
"91",30,0.00796387975350865,0.106659198303778,0.00313829349639896,0.0132804443327884,0.995219526542297,0.000909653238823605,0.0202185145185276,"Low 5 cm","Low","5 cm"
"96",31,0.00821047147101504,0.0856400732779893,0.0228368229146934,0.0649441236470102,0.989147578125497,0.00189997461211211,0.0300165740417532,"Control Surface","Control","Surface"
"101",32,0.00757177642169082,0.145130363442551,0.000185466523263,0.00131037949304799,0.998441794359605,0.000332505182293802,0.01230578884795,"Control Surface","Control","Surface"
"106",33,0.00922988318532106,0.0982338020040097,0.0133896462029913,0.0462400480245951,0.989313622131647,0.00175482378657372,0.0299007441123373,"Control Surface","Control","Surface"
"111",34,0.00637252445888855,0.141700397079786,0.00751543488288049,0.0427857581911315,0.981318992773916,0.000986004587017522,0.0418037845720805,"Control Surface","Control","Surface"
"116",35,0.00752725025166131,0.122814321791044,0.00199707737583101,0.0103814263510335,0.99493680306048,0.000736548763835812,0.0213092808609619,"Control Surface","Control","Surface"
"121",36,0.0084728711330023,0.11424017920717,0.000147175459831148,0.000731083222333934,0.99929695990227,0.000344358651598688,0.00795229330980052,"Control 1 cm","Control","1 cm"
"126",37,0.00945000789636758,0.123082988753259,0.00108470782665973,0.00578705826775523,0.996658691599173,0.000751589059987733,0.0173766242075883,"Control 1 cm","Control","1 cm"
"131",38,0.00792205104366043,0.13993062636694,5.11911457031134e-05,0.000345285666834838,0.999408385187569,0.0002262056264664,0.00756833534452051,"Control 1 cm","Control","1 cm"
"136",39,0.00572272764299859,0.139206410689015,0.00588632955401127,0.0336353664691912,0.985066913735833,0.000812737912499105,0.0373469280220945,"Control 1 cm","Control","1 cm"
"141",40,0.00626825389251776,0.226016271441678,4.19393521742337e-05,0.000624085378321201,0.998322003661668,0.000167456418772057,0.0149160364041385,"Control 1 cm","Control","1 cm"
"146",41,0.0053329637065703,0.1714522415761,0.00286338753948672,0.0235266531789453,0.984566394021544,0.00059026726805359,0.0401214805858093,"Control 5 cm","Control","5 cm"
"151",42,0.00599257516859329,0.152288481457105,0.00149100224122166,0.0107202779115523,0.992720536193318,0.000530877655364748,0.0267283933016243,"Control 5 cm","Control","5 cm"
"156",43,0.00788976202688006,0.15235269693529,0.00149572527283474,0.0107593279078605,0.992733465942859,0.000699699092759286,0.0267744620755992,"Control 5 cm","Control","5 cm"
"161",44,0.00675004548043169,0.163892599387332,0.000564502586815676,0.00472610474662766,0.995507059163742,0.000430673186931508,0.0215630973347364,"Control 5 cm","Control","5 cm"
"166",45,0.00532395685690776,0.206209866408622,0.00404601996950538,0.041866344301849,0.969562661854661,0.000663765748373565,0.0603087477609407,"Control 5 cm","Control","5 cm"
